date,team,player,position,injury
11/10/13,Oklahoma CityThunder,Nick Collison,F/C,Bruised left hip
11/9/13,BrooklynNets,Andrei Kirilenko,F,Sore back
11/9/13,IndianaPacers,Andrew Bynum,C,Sore knee
11/9/13,MiamiHeat,Udonis Haslem,PF,Sore back
11/8/13,Philadelphia76ers,Daniel Orton,F/C,Sore knee
11/8/13,Los AngelesLakers,Steve Nash,PG,Sore back
11/6/13,MilwaukeeBucks,Ersan Ilyasova,F,Sore right ankle
11/5/13,San AntonioSpurs,Matt Bonner,PF,Left calf
11/5/13,New YorkKnicks,Tyson Chandler,C,Fractured right fibula
11/3/13,PhoenixSuns,Alex Len,C,Sore ankle
11/2/13,Philadelphia76ers,Kwame Brown,C,Right hamstring
11/1/13,PortlandTrail Blazers,Earl Watson,PG,Sore calf
11/1/13,MinnesotaTimberwolves,Ronny Turiaf,F/C,Right elbow contusion
11/1/13,OrlandoMagic,Solomon Jones,F/C,Knee surgery
12/31/13,AtlantaHawks,DeMarre Carroll,F,Sprained right thumb
12/30/13,MiamiHeat,Chris Andersen,F/C,Sore back
12/30/13,MiamiHeat,Dwyane Wade,G,Back spasms
12/30/13,New OrleansPelicans,Jason Smith,F/C,Left shoulder
12/30/13,MilwaukeeBucks,John Henson,F/C,Sprained left ankle
12/30/13,Los AngelesLakers,Jordan Farmar,PG,Left hamstring
12/30/13,MiamiHeat,Norris Cole,PG,Broken nose
12/30/13,Los AngelesLakers,Xavier Henry,G/F,Bruised right knee
12/28/13,WashingtonWizards,Kevin Seraphin,F/C,Sore knee
12/28/13,MiamiHeat,LeBron James,F,Strained groin
12/28/13,New YorkKnicks,Metta World Peace,F,Sore left knee
12/27/13,AtlantaHawks,Al Horford,F/C,Torn right pectoral
12/27/13,WashingtonWizards,Bradley Beal,SG,Left leg
12/27/13,DenverNuggets,Darrell Arthur,F/C,Right quadriceps
12/27/13,New OrleansPelicans,Eric Gordon,SG,Bruised right hip
12/27/13,DetroitPistons,Rodney Stuckey,G,Sore shoulder
12/27/13,Oklahoma CityThunder,Russell Westbrook,PG,Knee surgery
12/26/13,AtlantaHawks,John Jenkins,G/F,Left leg
12/23/13,New YorkKnicks,Carmelo Anthony,F,Sprained left ankle
12/23/13,San AntonioSpurs,Cory Joseph,PG,Flu
12/23/13,ChicagoBulls,Greg Smith,F/C,Sore knee
12/23/13,DenverNuggets,Kenneth Faried,PF,Sore ankle
12/23/13,New YorkKnicks,Raymond Felton,G,Groin strain
12/22/13,New OrleansPelicans,Jason Smith,F/C,Bruised knee
12/21/13,BrooklynNets,Brook Lopez,C,Broken foot
12/21/13,OrlandoMagic,E'Twaun Moore,G,Bruised thigh
12/21/13,HoustonRockets,James Harden,G/F,Sprained right ankle
12/21/13,CharlotteBobcats,Jeffery Taylor,G/F,Ruptured achilles
12/21/13,San AntonioSpurs,Kawhi Leonard,G/F,Dental prodecure
12/21/13,HoustonRockets,Patrick Beverley,G,Fractured hand
12/20/13,ClevelandCavaliers,Anthony Bennett,F,Flu
12/20/13,ClevelandCavaliers,Dion Waiters,SG,Right wrist
12/20/13,MilwaukeeBucks,Ersan Ilyasova,F,Sprained ankle
12/20/13,CharlotteBobcats,Gary Neal,G,Sore foot
12/20/13,ChicagoBulls,Jimmy Butler,G/F,Sore ankle
12/20/13,ClevelandCavaliers,Kyrie Irving,G,Flu
12/20/13,New YorkKnicks,Metta World Peace,F,Sore knee
12/20/13,DenverNuggets,Ty Lawson,PG,Flu
12/19/13,Los AngelesLakers,Kobe Bryant,G,Hyperextended left knee
12/19/13,ClevelandCavaliers,Luol Deng,F,Achilles
12/18/13,OrlandoMagic,Arron Afflalo,G/F,Flu
12/18/13,AtlantaHawks,Cartier Martin,G/F,Sprained left ankle
12/18/13,WashingtonWizards,Glen Rice Jr.,G/F,Wrist surgery
12/18/13,MemphisGrizzlies,Mike Conley,PG,Left thigh contusion
12/18/13,DetroitPistons,Rodney Stuckey,G,Sore shoulder
12/18/13,MemphisGrizzlies,Tayshaun Prince,F,Sore left knee
12/17/13,New YorkKnicks,Amar'e Stoudemire,F/C,Sore knee
12/17/13,HoustonRockets,James Harden,G/F,Ankle sprain
12/17/13,HoustonRockets,Jeremy Lin,G,Sore back
12/17/13,MiamiHeat,LeBron James,F,Sore ankle
12/17/13,New YorkKnicks,Pablo Prigioni,G,Fractured toe
12/17/13,SacramentoKings,Rudy Gay,F,Right knee stiffness
12/17/13,San AntonioSpurs,Tony Parker,PG,Right shin contusion
12/14/13,DallasMavericks,Dirk Nowitzki,F/C,Flu
12/14/13,New YorkKnicks,Kenyon Martin,F/C,Abdominal strain
12/14/13,ChicagoBulls,Kirk Hinrich,G,Sore back
12/14/13,New OrleansPelicans,Tyreke Evans,G/F,Sprained ankle
12/13/13,BrooklynNets,Brook Lopez,C,Sprained left ankle
12/12/13,Golden StateWarriors,Jermaine O'Neal,C,Sprained wrist
12/12/13,New YorkKnicks,Raymond Felton,G,Sore left hamstring
12/12/13,Golden StateWarriors,Steve Blake,G,Torn elbow ligament
12/11/13,MemphisGrizzlies,Ed Davis,F/C,Sore ankle
12/11/13,BostonCeltics,Kris Humphries,F/C,Bruised right knee
12/11/13,Oklahoma CityThunder,Thabo Sefolosha,G/F,Sprained knee
12/10/13,ChicagoBulls,Joakim Noah,F/C,Bruised thigh
12/9/13,CharlotteBobcats,Bismack Biyombo,C,Sore ankle
12/9/13,UtahJazz,Derrick Favors,F/C,Sore back
12/9/13,CharlotteBobcats,Gary Neal,G,Sore foot
12/9/13,AtlantaHawks,Gustavo Ayon,F/C,Sore ankle
12/9/13,CharlotteBobcats,Jeffery Taylor,G/F,Bruised heel
12/9/13,WashingtonWizards,Martell Webster,G/F,Sore ankle
12/9/13,WashingtonWizards,Nene Hilario,F/C,Foot
12/9/13,MemphisGrizzlies,Quincy Pondexter,G/F,Stress fracture
12/9/13,San AntonioSpurs,Tiago Splitter,C,Sore left calf
12/9/13,DenverNuggets,Ty Lawson,PG,Sore hamstring
12/9/13,New OrleansPelicans,Tyreke Evans,G/F,Sprained ankle
12/8/13,New YorkKnicks,Kenyon Martin,F/C,Sore left ankle
12/8/13,Los AngelesClippers,Reggie Bullock,G/F,Left ankle
12/8/13,TorontoRaptors,Tyler Hansbrough,F/C,Sprained shoulder
12/7/13,ClevelandCavaliers,Luol Deng,F,Left calf
12/7/13,MiamiHeat,Michael Beasley,F,Sore hamstring
12/7/13,DetroitPistons,Rodney Stuckey,G,Sore knee
12/6/13,New YorkKnicks,Amar'e Stoudemire,F/C,Sore knee
12/6/13,MilwaukeeBucks,Ekpe Udoh,F/C,Ankle
12/6/13,Philadelphia76ers,Michael Carter-Williams,PG,Sore knee
12/6/13,Oklahoma CityThunder,Russell Westbrook,PG,Flu
12/6/13,MemphisGrizzlies,Tony Allen,G/F,Sore hip
12/6/13,MilwaukeeBucks,Zaza Pachulia,C,Sore foot
12/4/13,Oklahoma CityThunder,Caron Butler,SF,Sore knee
12/4/13,UtahJazz,Jeremy Evans,F,Flu
12/4/13,UtahJazz,Marvin Williams,F,Sore Achilles
12/4/13,CharlotteBobcats,Michael Kidd-Gilchrist,SF,Broken hand
12/4/13,HoustonRockets,Omer Asik,F/C,Bruised thigh
12/4/13,San AntonioSpurs,Tiago Splitter,C,Sore left calf
12/3/13,SacramentoKings,DeMarcus Cousins,F/C,Ankle injury
12/3/13,MiamiHeat,Dwyane Wade,G,Sore knee
12/3/13,ChicagoBulls,Mike James,PG,Knee injury
12/3/13,OrlandoMagic,Nikola Vucevic,F/C,Sprained left ankle
12/2/13,HoustonRockets,Chandler Parsons,F,Back spasms
12/2/13,BrooklynNets,Paul Pierce,F,Broken hand
12/1/13,New OrleansPelicans,Anthony Davis,F/C,Fractured left hand
12/1/13,Los AngelesLakers,Jordan Farmar,PG,Torn left hamstring
1/31/15,CharlotteHornets,Bismack Biyombo,C,Bruised knee
1/31/15,DallasMavericks,Chandler Parsons,F,Illness
1/31/15,DenverNuggets,Kenneth Faried,F/C,Illness
1/31/15,IndianaPacers,Lavoy Allen,F/C,Knee strain
1/31/15,CharlotteHornets,Marvin Williams,F,Concussion
1/31/15,OrlandoMagic,Victor Oladipo,G,Sore achilles
1/31/15,MinnesotaTimberwolves,Zach LaVine,PG,Sprained left ankle
1/30/15,New OrleansPelicans,Anthony Davis,F/C,Sore groin
1/30/15,AtlantaHawks,DeMarre Carroll,F,Left Achilles strain
1/30/15,HoustonRockets,Dwight Howard,F/C,Right knee edema
1/30/15,MiamiHeat,Dwyane Wade,G,Strained right hamstring
1/30/15,TorontoRaptors,James Johnson,F,Strained right hamstring
1/30/15,TorontoRaptors,Jonas Valanciunas,C,Right ankle
1/30/15,CharlotteHornets,Mo Williams,G,Sore left hip
1/30/15,AtlantaHawks,Thabo Sefolosha,G/F,Right calf strain
1/29/15,DetroitPistons,Ersan Ilyasova,F,Sore right groin
1/29/15,New YorkKnicks,Tim Hardaway Jr.,G/F,Right ankle
1/29/15,OrlandoMagic,Tobias Harris,F,Right ankle
1/29/15,New YorkKnicks,Travis Wear,PF,Strained left hip
1/29/15,MemphisGrizzlies,Vince Carter,G/F,Left foot strain
1/29/15,MilwaukeeBucks,Zaza Pachulia,C,Right calf strain
1/28/15,New YorkKnicks,Cole Aldrich,C,Left shin contusion
1/28/15,IndianaPacers,George Hill,G,Groin
1/28/15,Los AngelesClippers,J.J. Redick,SG,Back
1/28/15,ClevelandCavaliers,LeBron James,F,Sprained right wrist
1/28/15,WashingtonWizards,Nene Hilario,F/C,Foot
1/27/15,Golden StateWarriors,Andrew Bogut,C,Flu
1/27/15,MiamiHeat,Chris Andersen,F/C,Elbow injury
1/27/15,ChicagoBulls,Jimmy Butler,G/F,Illness
1/27/15,MiamiHeat,Luol Deng,F,Calf soreness
1/27/15,MemphisGrizzlies,Mike Conley,PG,Left wrist sprain
1/27/15,Los AngelesLakers,Tarik Black,F/C,Sprained right ankle
1/27/15,MemphisGrizzlies,Tony Allen,G/F,Sore ankle
1/26/15,Oklahoma CityThunder,Kevin Durant,F,Sore toe
1/25/15,DallasMavericks,Amar'e Stoudemire,F/C,Sprained left ankle
1/25/15,PhoenixSuns,Brandan Wright,F/C,Bruised heel
1/25/15,DetroitPistons,Brandon Jennings,PG,Torn left Achilles
1/25/15,ClevelandCavaliers,Brendan Haywood,C,Swollen left knee
1/25/15,IndianaPacers,C.J. Miles,G/F,Left groin strain
1/25/15,BostonCeltics,Kelly Olynyk,C,Sprained right ankle
1/25/15,MinnesotaTimberwolves,Robbie Hummel,F,Broken hand
1/25/15,Oklahoma CityThunder,Steven Adams,C,Migraine
1/24/15,New YorkKnicks,Jose Calderon,PG,Sore knee
1/24/15,CharlotteHornets,Kemba Walker,PG,Left knee surgery
1/24/15,DenverNuggets,Shavlik Randolph,PF,Strained left hamstring
1/23/15,Los AngelesLakers,Kobe Bryant,G/F,Torn rotator cuff
1/23/15,BrooklynNets,Mirza Teletovic,F,Pulmonary embolus
1/23/15,New OrleansPelicans,Ryan Anderson,F/C,Ankle inflamation
1/22/15,MinnesotaTimberwolves,Justin Hamilton,F/C,Concussion
1/22/15,PortlandTrail Blazers,LaMarcus Aldridge,F/C,Thumb surgery
1/21/15,MiamiHeat,Hassan Whiteside,C,Sprained right ankle
1/21/15,ClevelandCavaliers,Kyrie Irving,G,Illness
1/21/15,MiamiHeat,Luol Deng,F,Illness
1/21/15,Los AngelesLakers,Tarik Black,F/C,Sprained right ankle
1/20/15,UtahJazz,Rodney Hood,G/F,Left foot inflammation
1/17/15,SacramentoKings,DeMarcus Cousins,F/C,Right ankle sprain
1/17/15,CharlotteHornets,Kemba Walker,PG,Left knee cyst
1/17/15,PhoenixSuns,Kendall Marshall,PG,Torn ACL
1/17/15,AtlantaHawks,Pero Antic,C,Sprained ankle
1/17/15,AtlantaHawks,Shelvin Mack,PG,Strained left calf
1/16/15,New OrleansPelicans,Anthony Davis,F/C,Sprained left toe
1/16/15,SacramentoKings,Carl Landry,F,Sprained right wrist
1/16/15,ChicagoBulls,Joakim Noah,F/C,Sprained ankle
1/16/15,ClevelandCavaliers,Kevin Love,F/C,Back spasms
1/16/15,MemphisGrizzlies,Mike Conley,PG,Sore ankle
1/16/15,Los AngelesLakers,Ronnie Price,G,Sore right elbow
1/15/15,New YorkKnicks,Cleanthony Early,SF,Ankle soreness
1/15/15,BostonCeltics,James Young,SG,Flu
1/14/15,New OrleansPelicans,Jrue Holiday,PG,"Stress reaction, right lower leg"
1/14/15,San AntonioSpurs,Marco Belinelli,G/F,Left groin strain
1/14/15,DallasMavericks,Rajon Rondo,PG,Sore left achilles
1/14/15,Philadelphia76ers,Robert Covington,G/F,Right shoulder contusion
1/14/15,Philadelphia76ers,Tony Wroten,G,Torn ACL
1/14/15,DallasMavericks,Tyson Chandler,C,Left ankle soreness
1/13/15,MiamiHeat,Dwyane Wade,G,Hamstring strain
1/13/15,SacramentoKings,Rudy Gay,F,Left knee sprain
1/10/15,ChicagoBulls,Derrick Rose,PG,Left knee soreness
1/10/15,OrlandoMagic,Evan Fournier,SG,Hyperextended right knee
1/10/15,MinnesotaTimberwolves,Shabazz Muhammad,G/F,Lower abdominal soreness
1/10/15,OrlandoMagic,Tobias Harris,F,Sprained left ankle
1/9/15,CharlotteHornets,Mo Williams,G,Sprained right ankle
1/8/15,CharlotteHornets,Cody Zeller,F/C,Right shoulder strain
1/7/15,BrooklynNets,Deron Williams,PG,"Cartilage fracture, left rib"
1/7/15,IndianaPacers,Rodney Stuckey,G,Sore right groin
1/5/15,PortlandTrail Blazers,Joel Freeland,F/C,Right shoulder strain
1/5/15,UtahJazz,Trey Burke,PG,Strep throat
1/4/15,MinnesotaTimberwolves,Justin Hamilton,F/C,Concussion
1/4/15,Los AngelesLakers,Kobe Bryant,G/F,Rest
1/4/15,ClevelandCavaliers,Kyrie Irving,G,Lower back tightness
1/4/15,BrooklynNets,Markel Brown,SG,Bruised knee
1/3/15,MinnesotaTimberwolves,Chase Budinger,G/F,Illness
1/3/15,DenverNuggets,Jameer Nelson,PG,Right ankle sprain
1/3/15,ChicagoBulls,Mike Dunleavy,G/F,Right ankle sprain
1/2/15,DallasMavericks,Amar'e Stoudemire,F/C,Sore right knee
1/2/15,New YorkKnicks,Andrea Bargnani,F/C,Sore right calf
1/2/15,New YorkKnicks,Carmelo Anthony,F,Sore left knee
1/2/15,Oklahoma CityThunder,Enes Kanter,C,Sprained right ankle
1/2/15,IndianaPacers,George Hill,G,Strained left groin
1/2/15,UtahJazz,Patrick Christopher,SG,Dislocated right kneecap
1/2/15,UtahJazz,Rodney Hood,G/F,Left foot inflammation
1/2/15,New YorkKnicks,Samuel Dalembert,C,Sprained right ankle
1/2/15,New YorkKnicks,Tim Hardaway Jr.,G/F,Concussion
1/1/15,WashingtonWizards,Bradley Beal,SG,Toe
1/1/15,WashingtonWizards,Drew Gooden,F/C,Knee
1/1/15,WashingtonWizards,Nene Hilario,F/C,Ankle
1/1/15,SacramentoKings,Omri Casspi,SF,Left knee bone contusion
2/28/15,MiamiHeat,Chris Andersen,F/C,Illness
2/28/15,AtlantaHawks,DeMarre Carroll,F,Sore achilles
2/28/15,Oklahoma CityThunder,Russell Westbrook,PG,Cheek fracture
2/27/15,DenverNuggets,Darrell Arthur,F/C,Calf strain
2/27/15,SacramentoKings,DeMarcus Cousins,F/C,Sprained left ankle
2/27/15,Oklahoma CityThunder,Enes Kanter,C,Right thigh contusion
2/27/15,OrlandoMagic,Evan Fournier,SG,Sore right hip
2/27/15,WashingtonWizards,Kris Humphries,F/C,Strained groin
2/27/15,ClevelandCavaliers,Kyrie Irving,G,Left shoulder strain
2/27/15,ClevelandCavaliers,LeBron James,F,Back
2/27/15,Los AngelesLakers,Nick Young,G/F,Sore left knee
2/27/15,MilwaukeeBucks,O.J. Mayo,G,Strained right hamstring
2/27/15,ChicagoBulls,Pau Gasol,F/C,Illness
2/27/15,WashingtonWizards,Paul Pierce,F,Bruised right knee
2/27/15,ChicagoBulls,Taj Gibson,F/C,Left ankle sprain
2/25/15,DenverNuggets,Jusuf Nurkic,C,Right ankle
2/25/15,DenverNuggets,Kenneth Faried,F/C,Left thumb contusion
2/25/15,New YorkKnicks,Lance Thomas,G/F,Strained left groin
2/25/15,HoustonRockets,Patrick Beverley,G,Flu
2/25/15,DenverNuggets,Wilson Chandler,G/F,Sore left adductor
2/24/15,ChicagoBulls,Derrick Rose,PG,Torn right knee meniscus
2/24/15,Los AngelesLakers,Ronnie Price,G,Elbow surgery
2/24/15,Oklahoma CityThunder,Steve Novak,F,Appendectomy
2/23/15,BrooklynNets,Bojan Bogdanovic,G/F,Sprained left ankle
2/23/15,TorontoRaptors,Patrick Patterson,F/C,Left knee sprain
2/23/15,ClevelandCavaliers,Shawn Marion,G/F,Strained left hip
2/22/15,PortlandTrail Blazers,LaMarcus Aldridge,F/C,Right thumb sprain
2/22/15,Golden StateWarriors,Stephen Curry,G,Sore right ankle
2/21/15,New OrleansPelicans,Anthony Davis,F/C,Sprained shoulder
2/21/15,Oklahoma CityThunder,Kevin Durant,F,Sore right toe
2/21/15,ChicagoBulls,Kirk Hinrich,G,Illness
2/21/15,TorontoRaptors,Lou Williams,G,Sore ankle
2/21/15,MilwaukeeBucks,O.J. Mayo,G,Strained right hamstring
2/21/15,New OrleansPelicans,Ryan Anderson,F/C,Sore knee
2/21/15,MinnesotaTimberwolves,Shabazz Muhammad,G/F,Finger surgery
2/21/15,DetroitPistons,Tayshaun Prince,F,Hip injury
2/20/15,MinnesotaTimberwolves,Anthony Bennett,F,Lower right leg contusion
2/20/15,DallasMavericks,Chandler Parsons,F,Left ankle sprain
2/20/15,MiamiHeat,Chris Bosh,F/C,Blood clots in lungs
2/20/15,BostonCeltics,Jared Sullinger,F/C,Broken foot
2/20/15,BrooklynNets,Jarrett Jack,G,Sore left hamstring
2/20/15,SacramentoKings,Reggie Evans,F/C,Right knee contusion
2/20/15,IndianaPacers,Rodney Stuckey,G,Left ankle sprain
2/20/15,New YorkKnicks,Shane Larkin,PG,Illness
2/19/15,Los AngelesClippers,Austin Rivers,G,Sore left foot
2/17/15,New YorkKnicks,Carmelo Anthony,F,Left knee surgery
2/12/15,ChicagoBulls,Jimmy Butler,G/F,Right shoulder strain
2/11/15,OrlandoMagic,Channing Frye,F/C,Left game - dislocated left index finger
2/11/15,PortlandTrail Blazers,Chris Kaman,F/C,Right ankle sprain
2/11/15,MilwaukeeBucks,Jerryd Bayless,G,Left game - strained right hip flexor
2/11/15,UtahJazz,Joe Ingles,G/F,Lower back spasms
2/11/15,ClevelandCavaliers,Kevin Love,F/C,Left game - right corneal abrasion
2/11/15,WashingtonWizards,Kris Humphries,F/C,Sore back
2/11/15,Los AngelesLakers,Nick Young,G/F,Left game - sprained left ankle
2/11/15,New OrleansPelicans,Ryan Anderson,F/C,Right elbow sprain
2/10/15,DetroitPistons,Cartier Martin,G/F,Right ankle sprain
2/10/15,HoustonRockets,Terrence Jones,F,Flu
2/10/15,DallasMavericks,Tyson Chandler,C,Left ankle sprain
2/9/15,WashingtonWizards,Bradley Beal,SG,Sore toe
2/9/15,Oklahoma CityThunder,Steven Adams,C,Right hand surgery
2/9/15,OrlandoMagic,Tobias Harris,F,Sore right knee
2/8/15,Oklahoma CityThunder,Anthony Morrow,G/F,Sore shoulder
2/8/15,Los AngelesClippers,Blake Griffin,F/C,Staph infection
2/8/15,SacramentoKings,Rudy Gay,F,Sore left foot
2/7/15,New OrleansPelicans,Anthony Davis,F/C,Sprained right shoulder
2/7/15,New YorkKnicks,Carmelo Anthony,F,Sore left knee
2/7/15,ClevelandCavaliers,Kendrick Perkins,C,Knee
2/7/15,ChicagoBulls,Kirk Hinrich,G,Toe
2/7/15,CharlotteHornets,Michael Kidd-Gilchrist,SF,Hamstring strain
2/6/15,PhoenixSuns,Alex Len,C,Sprained right ankle
2/6/15,SacramentoKings,Darren Collison,PG,Hip flexor strain
2/6/15,MiamiHeat,Hassan Whiteside,C,Sprained right ankle
2/6/15,Los AngelesClippers,Hedo Turkoglu,F,Stomach virus
2/6/15,MilwaukeeBucks,Michael Carter-Williams,PG,Sore foot
2/6/15,HoustonRockets,Pablo Prigioni,G,Sore left hip
2/5/15,IndianaPacers,Ian Mahinmi,C,Sprained right ankle
2/4/15,DenverNuggets,Jameer Nelson,PG,Sore Achilles
2/4/15,MilwaukeeBucks,Kenyon Martin,F/C,Left ankle soreness
2/3/15,BostonCeltics,Avery Bradley,G,Thumb fracture
2/3/15,Los AngelesClippers,J.J. Redick,SG,Back spasms
2/3/15,Philadelphia76ers,JaVale McGee,C,Illness
2/2/15,PhoenixSuns,Brandon Knight,G,Right quad strain
2/2/15,Oklahoma CityThunder,Kevin Durant,F,Sprained left big toe
2/2/15,DallasMavericks,Rajon Rondo,PG,"Facial fractures, broken nose"
2/1/15,Los AngelesLakers,Jordan Hill,F/C,Strained hip
2/1/15,Los AngelesLakers,Tarik Black,F/C,Ankle
2/1/15,DetroitPistons,Tayshaun Prince,F,Sore hip
3/31/15,AtlantaHawks,Dennis Schroder,PG,Sprained left toe
3/29/15,Philadelphia76ers,Jason Richardson,G/F,Sore left knee
3/28/15,UtahJazz,Derrick Favors,F/C,Back spasms
3/28/15,CharlotteHornets,Michael Kidd-Gilchrist,SF,Ankle sprain
3/27/15,Los AngelesLakers,Carlos Boozer,F/C,Upper respiratory infection
3/27/15,OrlandoMagic,Dewayne Dedmon,C,Sore left ankle
3/27/15,AtlantaHawks,Jeff Teague,PG,Ankle soreness
3/27/15,DallasMavericks,Monta Ellis,G,Sore calf
3/26/15,IndianaPacers,David West,PF,Allergic reaction
3/26/15,HoustonRockets,Donatas Motiejunas,F,Sore back
3/25/15,WashingtonWizards,Bradley Beal,SG,Right ankle sprain
3/25/15,MiamiHeat,Chris Andersen,F/C,Left calf contusion
3/25/15,PortlandTrail Blazers,Chris Kaman,F/C,Right shoulder strain
3/25/15,ChicagoBulls,Doug McDermott,SF,Sore back
3/25/15,MiamiHeat,Dwyane Wade,G,Swollen left knee
3/25/15,MinnesotaTimberwolves,Gary Neal,G,Sprained left ankle
3/25/15,MiamiHeat,Hassan Whiteside,C,Right hand laceration
3/25/15,Philadelphia76ers,Luc Richard Mbah a Moute,F,Left shoulder soreness
3/25/15,HoustonRockets,Patrick Beverley,G,Torn wrist ligament
3/25/15,IndianaPacers,Rodney Stuckey,G,Calf strain
3/25/15,BrooklynNets,Thaddeus Young,F,Hyperextended knee
3/25/15,WashingtonWizards,Toure' Murry,SG,Sprained left ankle
3/25/15,New YorkKnicks,Travis Wear,PF,Sore lower back
3/24/15,Oklahoma CityThunder,Andre Roberson,G/F,Left ankle sprain
3/24/15,DallasMavericks,J.J. Barea,G,Sprained left ankle
3/24/15,TorontoRaptors,Kyle Lowry,PG,Back spasms
3/23/15,New YorkKnicks,Alexey Shved,G,Bruised ribs
3/23/15,UtahJazz,Gordon Hayward,G/F,Sprained right shoulder
3/23/15,ChicagoBulls,Joakim Noah,F/C,General soreness
3/23/15,MinnesotaTimberwolves,Kevin Martin,G/F,Sore hamstring
3/22/15,CharlotteHornets,Cody Zeller,F/C,Sore shoulder
3/22/15,MinnesotaTimberwolves,Kevin Garnett,F/C,Sore left knee
3/22/15,Oklahoma CityThunder,Nick Collison,F/C,Sprained left ankle
3/22/15,New OrleansPelicans,Omer Asik,F/C,Right calf strain
3/22/15,MinnesotaTimberwolves,Ricky Rubio,PG,Sore right ankle
3/22/15,New OrleansPelicans,Tyreke Evans,G,Left ankle sprain
3/21/15,MemphisGrizzlies,Courtney Lee,G/F,Sprained right hand
3/19/15,New OrleansPelicans,Anthony Davis,F/C,Sprained ankle
3/19/15,MinnesotaTimberwolves,Justin Hamilton,F/C,Migraine headaches
3/19/15,MinnesotaTimberwolves,Nikola Pekovic,C,Sore right ankle
3/19/15,HoustonRockets,Terrence Jones,F,Partially collapsed lung
3/18/15,SacramentoKings,DeMarcus Cousins,F/C,Right calf strain
3/18/15,OrlandoMagic,Dewayne Dedmon,C,Left ankle sprain
3/18/15,CharlotteHornets,Matt Barnes,SF,Right hamstring soreness
3/18/15,OrlandoMagic,Tobias Harris,F,Left ankle sprain
3/17/15,New YorkKnicks,Cleanthony Early,SF,Sore ankle
3/17/15,UtahJazz,Elijah Millsap,G/F,Concussion
3/17/15,DetroitPistons,Greg Monroe,F/C,Left knee strain
3/17/15,MilwaukeeBucks,Jared Dudley,G/F,Back spasms
3/17/15,HoustonRockets,Jason Terry,G,Sore hamstring
3/17/15,Golden StateWarriors,Klay Thompson,G/F,Sprained right ankle
3/17/15,MemphisGrizzlies,Mike Conley,PG,Sprained right ankle
3/17/15,MilwaukeeBucks,O.J. Mayo,G,Sore right hamstring
3/17/15,New YorkKnicks,Tim Hardaway Jr.,G/F,Sprained right wrist
3/16/15,AtlantaHawks,Kyle Korver,G/F,Broken nose
3/16/15,SacramentoKings,Ryan Hollins,C,Lower back strain
3/16/15,Oklahoma CityThunder,Serge Ibaka,F/C,Sore right knee
3/15/15,DenverNuggets,Darrell Arthur,F/C,Calf strain
3/15/15,MinnesotaTimberwolves,Gary Neal,G,Bruised hand
3/15/15,San AntonioSpurs,Manu Ginobili,G/F,Right ankle sprain
3/15/15,PhoenixSuns,Marcus Thornton,SG,Strained right toe
3/15/15,DenverNuggets,Wilson Chandler,G/F,Knee soreness
3/14/15,SacramentoKings,Rudy Gay,F,Sore knee
3/13/15,PortlandTrail Blazers,Alonzo Gee,G/F,Oral Surgery
3/13/15,AtlantaHawks,Mike Scott,PF,Left big toe strain
3/13/15,OrlandoMagic,Willie Green,SG,Lower back spasms
3/12/15,CharlotteHornets,Al Jefferson,F/C,Sore knee
3/12/15,CharlotteHornets,Cody Zeller,F/C,Right shoulder sprain
3/12/15,MilwaukeeBucks,O.J. Mayo,G,Aggravated right hamstring
3/12/15,IndianaPacers,Roy Hibbert,C,Sore left elbow
3/11/15,BostonCeltics,Isaiah Thomas,PG,Bruised back
3/11/15,MilwaukeeBucks,Jerryd Bayless,G,Ankle soreness
3/11/15,ChicagoBulls,Joakim Noah,F/C,Left knee soreness
3/10/15,BrooklynNets,Alan Anderson,G/F,Bruised lower back
3/10/15,DallasMavericks,Al-Farouq Aminu,SF,Left Shoulder
3/10/15,IndianaPacers,C.J. Miles,G/F,Foot soreness
3/10/15,UtahJazz,Gordon Hayward,G/F,Strained lower back
3/10/15,San AntonioSpurs,Manu Ginobili,G/F,Illness
3/10/15,BrooklynNets,Sergey Karasev,G/F,"Torn ligament, right knee"
3/10/15,New OrleansPelicans,Tyreke Evans,G,Left ankle sprain
3/9/15,PhoenixSuns,Brandon Knight,G,Left ankle sprain
3/9/15,WashingtonWizards,Garrett Temple,G,Sore hamstring
3/7/15,MiamiHeat,Hassan Whiteside,C,Sore ankle
3/6/15,DallasMavericks,Devin Harris,G,Right hand injury
3/6/15,MiamiHeat,Dwyane Wade,G,Sore right hip
3/6/15,MiamiHeat,Goran Dragic,G,Back strain
3/6/15,Philadelphia76ers,Jerami Grant,F,Back spasms
3/6/15,MiamiHeat,Luol Deng,F,Right thigh contusion
3/6/15,OrlandoMagic,Nikola Vucevic,F/C,Sore left ankle
3/6/15,PortlandTrail Blazers,Wesley Matthews,G/F,Torn left Achilles
3/5/15,BostonCeltics,Avery Bradley,G,Left elbow strain
3/4/15,IndianaPacers,C.J. Watson,PG,Elbow
3/4/15,OrlandoMagic,Devyn Marble,G/F,Detached retina
3/4/15,OrlandoMagic,Luke Ridnour,G,Strained right hamstring
3/4/15,Philadelphia76ers,Robert Covington,G/F,Right elbow contusion
3/4/15,IndianaPacers,Roy Hibbert,C,Undisclosed
3/4/15,OrlandoMagic,Tobias Harris,F,Knee
3/3/15,MemphisGrizzlies,Beno Udrih,PG,Illness
